Raison sociale;SIRET;Code NAF;Libellé NAF;Région;Date de labellisation;Date de fin de labellisation;Univers;geolocetablissement
CONFISERIE DES HAUTES VOSGES CLAUDEPIERRE FRERES;33457133800014;68.20B;Location de terrains et d'autres biens immobiliers;GRAND-EST;2025-04-24;2030-04-22;Gastronomie;48.14665387404971, 7.011122455298945
SARL ALAIN GALOGER PLATRERIE STAFF;44508134200013;43.31Z;Travaux de plâtrerie;BRETAGNE;2025-05-05;2030-05-03;Architecture et Patrimoine Bâti;48.14770187229565, -1.705970375390609
RAMPAL PATOU;45381075600065;20.41Z;Fabrication de savons, détergents et produits d'entretien;PROVENCE-ALPES-COTE D'AZUR;2025-05-12;2030-05-10;Mode et beauté;43.637057130739855, 5.035165968586317
CIERGERIE DE LOURDES;41487404000010;32.99Z;Autres activités manufacturières n.c.a.;OCCITANIE;2025-05-19;2030-05-17;Ameublement et Décoration;43.095965691809745, -0.03758101794568199
ETABLISSEMENTS AUVINET;54695048600011;14.13Z;Fabrication de vêtements de dessus (14.13Z);PAYS-DE-LA-LOIRE;2025-06-11;2030-06-09;Mode et beauté;46.97447, -1.052055
SARL GILLES GRANGEON EBENISTE;39858256900016;31.02Z;Fabrication de meubles de cuisine;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;"Ameublement et Décoration;Équipements de la maison et agencement intérieur";45.239154212420594, 4.1429082243775985
MAURICE NAILLER;44925719500080;43.91B;Travaux de couverture par éléments;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;"Architecture et Patrimoine Bâti;Couverture - Toiture - Charpente";45.09974427385319, 2.8563986829699894
Cemoi confiseur;56420216600018;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;OCCITANIE;2019-08-30;2024-08-27;Gastronomie;42.67983981648754, 2.853829934423958
Signature Végétale;83919905600012;81.30Z;Services d'aménagement paysager;AUVERGNE-RHÔNE-ALPES;2019-08-30;2024-08-27;Ameublement et Décoration;45.800322622173695, 5.9736571914021575
IMA Solutions SARL;50237615500011;90.03B;Autre création artistique;OCCITANIE;2019-08-30;2024-08-27;Culture et Communication;43.58330894822804, 1.4171684534578775
DOMAINE LES CRAYÈRES SAS;30263661800068;56.10A;Restauration traditionnelle;GRAND-EST;2020-02-20;2025-02-17;Gastronomie;49.241479, 4.052138
NEW-TONE;32953173500036;74.10Z;Activités spécialisées de design (74.10Z);ILE-DE-FRANCE;2020-02-20;2025-02-17;Culture et Communication;48.870845, 2.359064
SOCOTEX;47725004700016;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);NORMANDIE;2020-03-16;2025-03-14;Equipements Industriels, Médicaux, Mécaniques;49.42055, 0.263212
ETABLISSEMENTS ANDRÉ RENAUD;32584370400058;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);ILE-DE-FRANCE;2020-03-16;2025-03-14;Mode et beauté;48.852219, 2.386992
ATELIERS NECTOUX;38925208100028;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);NOUVELLE AQUITAINE;2020-07-03;2025-07-01;Ameublement et Décoration;43.698435733664304, -1.0527076489076894
SEVE;43864848700017;10.71D;Pâtisserie (10.71D);AUVERGNE-RHÔNE-ALPES;2020-07-30;2025-07-28;Gastronomie;45.796068, 4.791558
DL INTERNATIONAL;85203025300029;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);BOURGOGNE-FRANCHE-COMTÉ;2020-07-30;2025-07-28;Ameublement et Décoration;47.36609, 3.381592
BERGERAULT PERCUSSIONS CONTEMPORAINES;73480069100036;32.20Z;Fabrication d’instruments de musique (32.20Z);CENTRE-VAL-DE-LOIRE;2020-07-30;2025-07-28;Culture et Communication;47.034406, 0.825238
ATELIER JEAN-YVES LE BOT;41951348600011;95.24Z;Réparation de meubles et d’équipements du foyer (95.24Z);BRETAGNE;2020-10-01;2025-09-29;Ameublement et Décoration;47.660518, -2.13344
LES TAILLEURS D'IMAGES;32179592400091;25.99A;Fabrication d’articles métalliques ménagers (25.99A);NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Ameublement et Décoration;46.012635, 0.079908
SOMEBAT;32892093900027;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Architecture et Patrimoine Bâti;46.247233, -0.47033
METAL 360;80476728300026;43.32B;Travaux de menuiserie métallique et serrurerie (43.32B);PAYS-DE-LA-LOIRE;2021-10-26;2026-10-24;Architecture et Patrimoine Bâti;47.039269, -1.090742
ARO GERALD;43284534500029;47.79Z;Commerce de détail de biens d’occasion en magasin;ILE-DE-FRANCE;2021-12-13;2026-12-11;Culture et Communication;48.881877, 2.341677
ART & PATRIMOINE CONSEIL;50316183800043;90.03A;Création artistique relevant des arts plastiques (90.03A);AUVERGNE-RHÔNE-ALPES;2022-03-22;2027-03-20;Ameublement et Décoration;45.852685, 5.067006
BLANCHARD FRANGES;88762778400010;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);AUVERGNE-RHÔNE-ALPES;2022-03-24;2027-03-22;Ameublement et Décoration;44.974598, 4.353406
CHÂTEAU DAUZAC;32641930600013;01.21Z;Culture de la vigne (01.21Z);NOUVELLE AQUITAINE;2022-04-01;2027-03-30;Gastronomie;45.019021, -0.62324
PASCAL MAROTTE;38152688800015;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";BOURGOGNE-FRANCHE-COMTÉ;2022-04-04;2027-04-02;Ameublement et Décoration;46.795372, 5.618374
METRONOME TECHNOLOGIE;38791271000085;26.40Z;Fabrication de produits électroniques grand public (26.40Z);OCCITANIE;2022-04-11;2027-04-09;Equipements Industriels, Médicaux, Mécaniques;43.850402, 1.857673
THION;72578049800012;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2022-05-02;2027-04-30;Equipements Industriels, Médicaux, Mécaniques;46.103269, 4.318637
ADECO;44189148800021;43.32A;Travaux de menuiserie bois et PVC (43.32A);BOURGOGNE-FRANCHE-COMTÉ;2022-07-29;2027-07-27;Architecture et Patrimoine Bâti;47.287139, 5.995023
AEG JOEL MACHU;30152817000014;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);HAUTS-DE-FRANCE;2022-10-24;2027-10-22;Mode et beauté;50.120258, 3.415338
J.M. Weston;33203766200092;15.20Z;Fabrication de chaussures (15.20Z);NOUVELLE AQUITAINE;2023-06-07;2028-06-04;Mode et beauté;45.877533, 1.277005
EBÉNISTERIE D'ART LE CHEVALET;33208383100013;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement;GRAND-EST;2023-07-24;2028-07-21;Ameublement et Décoration;48.642554, 7.708471
PORCELAINES JACQUES PERGAY;32502204400029;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);NOUVELLE AQUITAINE;2023-11-15;2028-11-12;Arts de la table;48.867740056833014, 2.3224208003656948
Jean BRISSAY;42083911000012;31.03Z;Fabrication de matelas (31.03Z);AUVERGNE-RHÔNE-ALPES;2023-11-20;2028-11-17;Ameublement et Décoration;45.920382, 3.840334
SA TONNELLERIE BILLON;33241357400036;16.24Z;Fabrication d’emballages en bois (16.24Z);BOURGOGNE-FRANCHE-COMTÉ;2024-03-17;2029-03-15;Equipements Industriels, Médicaux, Mécaniques;50.15982826187124, 1.495269981793617
Manufacture de Parapluies de Cherbourg;40496819000037;14.19Z;Fabrication d’autres vêtements et accessoires (14.19Z);NORMANDIE;2024-04-03;2029-04-01;Mode et beauté;49.637794, -1.621723
FONTAINES PETRIFIANTES DE SAINT NECTAIRE;33226470400013;32.99Z;Autres activités manufacturières n.c.a.;AUVERGNE-RHÔNE-ALPES;2025-02-07;2030-02-05;Ameublement et Décoration;45.584403, 2.99713
CHERI BIBI;83449035100014;14.19Z;Fabrication d'autres vêtements et accessoires;NOUVELLE AQUITAINE;2025-02-26;2030-02-24;Mode et beauté;45.47573508141551, 2.1647256536803297
NOR LINE;96920186200048;15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.647175235873604, 2.3780612611750684
ETUDE ET DIFFUSION EUROPEENNE DE NOUVEAUTES;49462050300032;22.29B;Fabrication de produits de consommation courante en matières plastiques;AUVERGNE-RHÔNE-ALPES;2025-03-27;2030-03-25;Ameublement et Décoration;44.91175754838583, 4.97380969769294
EXPLOITA ETABLISSEMENT FERRIE;33514560300015;13.30Z;Ennoblissement textile;OCCITANIE;2025-06-11;2030-06-09;Ameublement et Décoration;43.552949375294965, 2.118846386301325
ETS PIERRE BREZ;34185519500010;25.99A;Fabrication d'articles métalliques ménagers;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;Ameublement et Décoration;45.10772314140011, 3.4990409127280917
CONSERVES GONIDEC;37598007500028;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques;BRETAGNE;2025-03-24;2030-03-22;Gastronomie;47.902600810588275, -3.909177919277583
Crepin Petit;51356105000016;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);HAUTS-DE-FRANCE;2019-08-30;2024-08-27;Mode et beauté;50.13097552287596, 2.161296496215239
ADIC;40172881100027;62.01Z;Programmation informatique;OCCITANIE;2019-08-30;2024-08-27;Culture et Communication;44.026179528150735, 4.419266495814495
Restauration de livres anciens;44512517200053;90.03A;Création artistique relevant des arts plastiques (90.03A);CENTRE-VAL-DE-LOIRE;2019-08-30;2024-08-27;Ameublement et Décoration;48.814384, 7.778969
Sud France;48366081700022;95.24Z;Réparation de meubles et d’équipements du foyer (95.24Z);PROVENCE-ALPES-COTE D'AZUR;2019-08-30;2024-08-27;Ameublement et Décoration;43.124413712954144, 5.929544405749094
DOUMBEA;43888600400029;10.13A;Préparation industrielle de produits à base de viande (10.13A);ILE-DE-FRANCE;2019-12-23;2024-12-20;Gastronomie;48.855765, 2.391997
RATINAUD CRÉATIONS;32231250500058;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);NOUVELLE AQUITAINE;2020-03-16;2025-03-14;Mode et beauté;45.893629, 6.077273
HUGON METAL DESIGN;80302988300011;25.12Z;Fabrication de portes et fenêtres en métal (25.12Z);GRAND-EST;2020-10-01;2025-09-29;Architecture et Patrimoine Bâti;49.124986, 6.217023
FOUR GRAND-MÈRE;48112328900011;28.93Z;Fabrication de machines pour l’industrie agro-alimentaire (28.93Z);GRAND-EST;2020-10-01;2025-09-29;Equipements Industriels, Médicaux, Mécaniques;48.336402, 6.683261
DANIEL MOEVUS;38073564700014;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";AUVERGNE-RHÔNE-ALPES;2021-07-25;2026-07-23;Ameublement et Décoration;45.840022, 5.646376
PLÂTRERIE RUCH;83487752400019;43.31Z;Travaux de plâtrerie (43.31Z);GRAND-EST;2021-09-09;2026-09-07;Architecture et Patrimoine Bâti;44.033236, 5.121318
ANTHONY MERCIER;50495062700027;25.50A;"Forge, estampage, matriçage ; métallurgie des poudres";BOURGOGNE-FRANCHE-COMTÉ;2021-10-29;2026-10-27;Architecture et Patrimoine Bâti;47.108819, 5.477532
CREATIONS D'ART BUEE GENDRAU LEVASSEUR;70200863200029;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2021-11-23;2026-11-21;Mode et beauté;48.875527, 2.342998
ETS GONTHIEZ FRÈRES;58172097600017;32.13Z;Fabrication d’articles de bijouterie fantaisie et articles similaires (32.13Z);HAUTS-DE-FRANCE;2022-01-28;2027-01-26;Mode et beauté;49.915591, 2.490806
André Renault;40857035600027;31.03Z;Fabrication de matelas (31.03Z);PAYS-DE-LA-LOIRE;2022-01-31;2027-01-29;Ameublement et Décoration;47.514953, -2.045729
EDGARD HAMON MANUFACTURE;84404373700015;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);ILE-DE-FRANCE;2022-03-15;2027-03-13;Mode et beauté;48.878708, 2.303692
ARCOA;90705005800086;90.03A;Création artistique relevant des arts plastiques (90.03A);ILE-DE-FRANCE;2022-03-22;2027-03-20;Ameublement et Décoration;48.880789, 2.232663
PHOTOGRAVURE JP MARTIN;35209599600042;18.13Z;Activités de pré-presse (18.13Z);AUVERGNE-RHÔNE-ALPES;2022-03-24;2027-03-22;Equipements Industriels, Médicaux, Mécaniques;45.628547, 5.298257
VITRINES LELIEVRE DRIOT;32484700300039;25.11Z;Fabrication de structures métalliques et de parties de structures (25.11Z);ILE-DE-FRANCE;2022-04-04;2027-04-02;Architecture et Patrimoine Bâti;48.813963, 2.395895
ATELIER SAINT-MARTIN;39919606200034;43.39Z;Autres travaux de finition;AUVERGNE-RHÔNE-ALPES;2022-07-18;2027-07-16;Architecture et Patrimoine Bâti;46.085763, 6.665088
LES TERRES CUITES D'AIZENAY;43931598700016;23.31Z;Fabrication de carreaux en céramique (23.31Z);PAYS-DE-LA-LOIRE;2022-10-06;2027-10-04;Architecture et Patrimoine Bâti;46.721663, -1.559179
UWL SURFBOARDS;42163955000027;32.30Z;Fabrication d’articles de sport (32.30Z);NOUVELLE AQUITAINE;2022-10-13;2027-10-11;Loisirs et Transports;46.106794, -1.099349
Cristalleries de Saint-Louis;35343870800029;23.13Z;Fabrication de verre creux (23.13Z);GRAND-EST;2022-12-22;2027-12-20;Arts de la table;48.98855, 7.347955
CORDERIE PALUS;84073241600010;13.94Z;Fabrication de ficelles, cordes et filets (13.94Z);NOUVELLE AQUITAINE;2023-01-03;2028-01-01;Ameublement et Décoration;45.128788, 1.416718
CECCALDI CREATIONS;49313230200016;47.59B;Commerce de détail d’autres équipements du foyer (47.59B);ILE-DE-FRANCE;2023-02-02;2028-01-31;Arts de la table;48.849954, 2.340412
LES BOUCHAGES DELAGE;38245593900019;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";NOUVELLE AQUITAINE;2023-02-23;2028-02-21;Equipements Industriels, Médicaux, Mécaniques;45.668637, -0.267533
HERVET MANUFACTURIER;80141444200047;95.24Z;Réparation de meubles et d’équipements du foyer (95.24Z);ILE-DE-FRANCE;2023-03-28;2028-03-25;Ameublement et Décoration;48.869273, 2.329915
LOUBIERE LA FORGE D'ART;35220000000029;25.50A;"Forge, estampage, matriçage ; métallurgie des poudres";PAYS-DE-LA-LOIRE;2023-06-23;2028-06-20;Architecture et Patrimoine Bâti;47.466313, 0.124114
TOLIX STEEL DESIGN;47885488800029;31.01Z;Fabrication de meubles de bureau et de magasin (31.01Z);BOURGOGNE-FRANCHE-COMTÉ;2023-07-10;2028-07-07;Ameublement et Décoration;46.952248, 4.283245
HAMPIAUX SAS;76980083000010;28.14Z;Fabrication d’autres articles de robinetterie (28.14Z);GRAND-EST;2023-07-24;2028-07-21;Ameublement et Décoration;48.685882, 6.20136
OTELINE;43995780400032;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2024-01-09;2029-01-06;Mode et beauté;45.815718, 4.87789
SARL DENIS MALLEJAC;39523478400019;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);BRETAGNE;2024-01-09;2029-01-06;Architecture et Patrimoine Bâti;49.155239, 0.741918
TISSAGE D'ART DE LYS;52330364200012;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);HAUTS-DE-FRANCE;2024-04-30;2029-04-28;Ameublement et Décoration;50.673236, 3.206553
VERNEY-CARRON S.A.;57450155700049;25.40Z;Fabrication d'armes et de munitions;AUVERGNE-RHÔNE-ALPES;2024-06-18;2029-06-16;Equipements Industriels, Médicaux, Mécaniques;45.452903, 4.388866
SAS GEORGES BRUCK;55850449400011;10.13A;Préparation industrielle de produits à base de viande (10.13A);GRAND-EST;2025-01-30;2030-01-28;Gastronomie;45.188078, 0.831365
CAS BERNARD .;96050376100079;32.12Z;Fabrication d’articles de joaillerie et bijouterie;GRAND-EST;2025-01-30;2030-01-28;Mode et beauté;48.01869632295067, 7.528160268432567
SOC STARK AND SONS;54208352200020;14.13Z;Fabrication de vêtements de dessus;ILE-DE-FRANCE;2025-04-15;2030-04-13;Mode et beauté;48.86517484490825, 2.332733742328642
FG Manufacture;43757308200033;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2025-04-21;2030-04-19;Mode et beauté;45.78317008397625, 4.896535550913904
NOGENT***;38904301900014;25.71Z;Fabrication de coutellerie;GRAND-EST;2025-06-27;2030-06-25;Arts de la table;48.08574914651866, 5.2921550118632
ATELIERS ALLOT FRERES;31728762100013;3109B;Fabrication d’autres meubles et industries connexes de l’ameublement;Bretagne;2025-07-04;2030-07-02;Ameublement et Décoration;48.1775088479071, -2.684120056529302
Boulangerie Gueguen;32241558900017;10.71C;Boulangerie et boulangerie-pâtisserie;BRETAGNE;2019-08-30;2024-08-27;Gastronomie;48.009243647395245, -4.096141990435069
Alain Vagh Céramique;37861482000017;23.31Z;Fabrication d'articles céramiques à usage domestique ou ornemental;PROVENCE-ALPES-COTE D'AZUR;2019-08-30;2024-08-27;Arts de la table;43.5569227480468, 6.2906075246209
Le Petit Vallauris;44035303500023;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);PROVENCE-ALPES-COTE D'AZUR;2019-08-30;2024-08-27;Arts de la table;43.10817755730438, 6.035579838087322
SAVEBAG SA;62480093400017;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);CENTRE-VAL-DE-LOIRE;2019-12-23;2024-12-20;Mode et beauté;43.336405, 5.397109
FERRONNERIE MAZINGUE;43979696200025;33.11Z;Réparation d'ouvrages en métaux;GRAND-EST;2019-12-23;2024-12-20;Architecture et Patrimoine Bâti;49.270932, 3.993303
FRANÇOIS FRÈRES;31349817200011;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);NOUVELLE AQUITAINE;2020-03-09;2025-03-07;Mode et beauté;46.582271, 0.347194
GANT CAUSSE;44490171400022;14.19Z;Fabrication d’autres vêtements et accessoires (14.19Z);OCCITANIE;2020-03-16;2025-03-14;Mode et beauté;44.101205, 3.0836
PRODUITS BERGER;55208777700033;20.41Z;Fabrication de savons, détergents et produits d'entretien;NORMANDIE;2020-03-16;2025-03-14;Ameublement et Décoration;46.438584, 0.871367
SASU HAMERS;40752430500031;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2020-03-16;2025-03-14;Mode et beauté;45.342653, 4.311679
EUROPLATRE;35321918100032;43.31Z;Travaux de plâtrerie (43.31Z);OCCITANIE;2020-07-03;2025-07-01;Ameublement et Décoration;43.596708, 2.059619
LE MARVILLOIS;39245352800045;10.13B;Charcuterie (10.13B);GRAND-EST;2020-07-30;2025-07-28;Gastronomie;49.5224, 5.384396
VELOURS DE LYON;34744192500042;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2020-07-30;2025-07-28;Mode et beauté;45.749694, 4.943311
SE LE PAPIER D'ARMÉNIE;40021380700011;17.12Z;Fabrication de papier et de carton (17.12Z);ILE-DE-FRANCE;2021-07-15;2026-07-13;Equipements Industriels, Médicaux, Mécaniques;48.874626, 2.338744
SOCIÉTÉ AZERGUOISE DE REPOUSSAGE ET D'EMBOUTISSAGE;35117408100031;25.50B;Découpage, emboutissage (25.50B);AUVERGNE-RHÔNE-ALPES;2021-07-28;2026-07-26;Equipements Industriels, Médicaux, Mécaniques;46.036162, 4.48093
SOUCHET;48872977300025;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);GRAND-EST;2021-09-09;2026-09-07;Ameublement et Décoration;48.732062, 3.607861
TDV INDUSTRIES;30679698800013;13.20Z;Tissage (13.20Z);PAYS-DE-LA-LOIRE;2022-01-31;2027-01-29;Equipements Industriels, Médicaux, Mécaniques;48.057389, -0.761343
FONDERIE DES CYCLOPES;41142480700021;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);NOUVELLE AQUITAINE;2022-02-23;2027-02-21;Architecture et Patrimoine Bâti;44.935327, -0.23764
RESTA-JAY PERCUSSIONS;52291877000028;32.20Z;Fabrication d’instruments de musique (32.20Z);BOURGOGNE-FRANCHE-COMTÉ;2022-04-04;2027-04-02;Culture et Communication;47.777860127664994, 0.7923348653726497
MEDIA 6 ATELIERS NORMAND;48425369500015;31.01Z;Fabrication de meubles de bureau et de magasin (31.01Z);PAYS-DE-LA-LOIRE;2022-04-08;2027-04-06;Ameublement et Décoration;47.109518, -1.804389
ATELIER VUILLAUME BRODERIES;31007736700020;13.99Z;Fabrication d’autres textiles n.c.a.;GRAND-EST;2022-04-14;2027-04-12;Mode et beauté;48.394397, 6.132058
COLLECTION PIERRE COUNOT-BLANDIN;79394248300017;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);GRAND-EST;2022-04-14;2027-04-12;Ameublement et Décoration;48.324628, 5.574377
SERGE LEIBOVITZ;53949254600020;32.40Z;Fabrication de jeux et jouets (32.40Z);PROVENCE-ALPES-COTE D'AZUR;2022-06-21;2027-06-19;Loisirs et Transports;43.636262, 6.646269
CONCEPT EBENIST';49854836100019;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);PAYS-DE-LA-LOIRE;2022-10-06;2027-10-04;Ameublement et Décoration;47.162731, -1.414448
ATELIER GIORDANI;43294812300059;90.03A;Création artistique relevant des arts plastiques (90.03A);NORMANDIE;2022-10-06;2027-10-04;Architecture et Patrimoine Bâti;49.403061, 1.112079
MARBRERIE ROUILLON;30957544700029;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);OCCITANIE;2022-10-26;2027-10-24;Architecture et Patrimoine Bâti;44.119588, 4.10736
OGER NUANCIERS;34790069800015;17.23Z;Fabrication d’articles de papeterie (17.23Z);BRETAGNE;2022-11-28;2027-11-26;Equipements Industriels, Médicaux, Mécaniques;47.849318, -1.676494
CYTISE;52929832500018;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);BRETAGNE;2022-11-28;2027-11-26;Ameublement et Décoration;48.533721, -2.041407
COREUM;41850215900019;90.03A;Création artistique relevant des arts plastiques (90.03A);BRETAGNE;2022-11-28;2027-11-26;Ameublement et Décoration;48.006991, -3.034854
PUIFORCAT;53520515700022;32.12Z;Fabrication d’articles de joaillerie et bijouterie;ILE-DE-FRANCE;2023-02-02;2028-01-31;Arts de la table;43.580293, 5.409252
ATELIER PATRICE BRICOUT;43796521300022;95.24Z;Réparation de meubles et d’équipements du foyer (95.24Z);HAUTS-DE-FRANCE;2023-02-06;2028-02-04;Ameublement et Décoration;50.664353, 3.076257
HOTEL DU PALAIS;62272015900012;55.10Z;Hôtels et hébergement similaire (55.10Z);NOUVELLE AQUITAINE;2023-02-23;2028-02-21;Architecture et Patrimoine Bâti;43.486823, -1.555066
DISSIDI;30544264200016;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2023-07-12;2028-07-09;Ameublement et Décoration;48.852194, 2.377162
LE BÂTIMENT ASSOCIÉ;31646417100024;41.20B;Construction d’autres bâtiments;GRAND-EST;2023-07-24;2028-07-21;Architecture et Patrimoine Bâti;49.272395, 3.90751835
ULGADOR;44822408900012;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);ILE-DE-FRANCE;2023-09-11;2028-09-08;Ameublement et Décoration;48.848226, 2.693677
LES ETAINS DE LYON;97250183700033;25.99B;Fabrication d’autres articles métalliques (25.99B);AUVERGNE-RHÔNE-ALPES;2023-12-08;2028-12-05;Ameublement et Décoration;45.783377, 4.894704
SARL LEONARD PARLI;73162154600019;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;PROVENCE-ALPES-COTE D'AZUR;2024-03-26;2029-03-24;Gastronomie;45.30943, 4.283936
J TOULEMONDE PERE ET FILS;88608003500019;13.10Z;Préparation de fibres textiles et filature (13.10Z);HAUTS-DE-FRANCE;2024-04-30;2029-04-28;Equipements Industriels, Médicaux, Mécaniques;50.659772, 3.095745
ETABLISSEMENTS PIERRE DURIEZ;32351601300030;43.32C;Agencement de lieux de vente (43.32C);HAUTS-DE-FRANCE;2024-05-27;2029-05-25;Ameublement et Décoration;50.51785, 3.15749
MAISON ZILLI;90878531400034;14.13Z;Fabrication de vêtements de dessus;AUVERGNE-RHÔNE-ALPES;2025-02-07;2030-02-05;Mode et beauté;45.808285374012634, 4.767282297172291
DAMMANN FRERES;45157051900053;10.83Z;Transformation du thé et du café (10.83Z);CENTRE-VAL-DE-LOIRE;2025-02-08;2030-02-06;Gastronomie;48.74941112767447, 1.389493881958554
CRUZILLES;85720109900051;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;AUVERGNE-RHÔNE-ALPES;2025-03-27;2030-03-25;Gastronomie;45.79204933060816, 3.143092640102764
Lemaitre Demeestere;88548151500017;13.20Z;Tissage (13.20Z);HAUTS-DE-FRANCE;2025-04-07;2030-04-05;Ameublement et Décoration;50.78109949658386, 3.1051899520835535
MULTIFORMES;41421892500025;27.40Z;Fabrication d'appareils d'éclairage électrique;ILE-DE-FRANCE;2025-04-15;2030-04-13;Equipements Industriels, Médicaux, Mécaniques;48.84499314804468, 2.3898924961272496
SAVONNERIE MARSEILLAISE DE LA LICORNE;41530338700021;20.41Z;Fabrication de savons, détergents et produits d'entretien;PROVENCE-ALPES-COTE D'AZUR;2025-05-12;2030-05-10;Mode et beauté;43.2929099162886, 5.369116197407578
JEAN HENAFF SA;37558059400014;70.10Z;Activités des sièges sociaux;BRETAGNE;2025-05-13;2030-05-11;Gastronomie;47.95769625763047, -4.364857271692758
ETABLISSEMENTS PIERRE QUIOC;58655042800047;14.19Z;Fabrication d'autres vêtements et accessoires;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;Mode et beauté;45.252859834511646, 4.250150039720712
ETABLISSEMENTS FAFOURNOUX;32290347700014;25.50B;Découpage, emboutissage;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;Equipements Industriels, Médicaux, Mécaniques;45.8694122667167, 3.6375885109124537
La Fabrique de poteries de Cliousclat;83075909800015;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);AUVERGNE-RHÔNE-ALPES;2019-08-30;2024-08-27;Arts de la table;44.71590267437471, 4.837091067022197
TISSAGE DE SOIERIE ET DÉRIVÉS R. BERLIET;32122589800022;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2019-12-23;2024-12-20;Mode et beauté;45.759343, 4.926403
EXPO MARBRE;95950210500023;43.33Z;Travaux de revêtement des sols et des murs;AUVERGNE-RHÔNE-ALPES;2019-12-23;2024-12-20;Architecture et Patrimoine Bâti;45.662447, 4.752088
LA ROCHERE;81568002000014;23.13Z;Fabrication de verre creux (23.13Z);BOURGOGNE-FRANCHE-COMTÉ;2020-07-03;2025-07-01;Arts de la table;47.989586, 6.060911
ATELIER TUDUAL HERVIEUX;48411299000029;32.20Z;Fabrication d’instruments de musique (32.20Z);BRETAGNE;2020-07-03;2025-07-01;Culture et Communication;47.61812916668991, -2.109395031166545
L'EPICURIEN  SA;35329278200029;10.39B;Transformation et conservation de fruits;OCCITANIE;2020-07-30;2025-07-28;Gastronomie;43.690282, 3.351765
SOCIÉTÉ FRANÇAISE DE DIFFUSION DES VINAIGRES D'ORLÉANS (SFDVO);08608029800010;10.84Z;Fabrication de condiments et assaisonnements (10.84Z);CENTRE-VAL-DE-LOIRE;2020-10-01;2025-09-29;Gastronomie;47.90179885232297, 1.9088160483575927
