﻿Thématique;Sous-thématique;Nom de l'Enquête;Description rapide;Producteur;Types de données;Maille d'étude;Lien;Niveau géographique;Périodicité;Variables;Types d'accès
Transport;Transport;Transports.data.gouv.fr - autres informations;Autres jeux de données sur les transports;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=informations;National;Au fil de l'eau;"BAN ; Horaires de gares ; Liste des Autorités Organisatrices de la Mobilité (AOM) ;  Arrêts de transport en France
Arrêts de transport en France";Open data
Economie;PoI;Programme Action Cœur de Ville;Action cœur de ville répond à une double ambition : améliorer les conditions de vie des habitants des villes moyennes et conforter le rôle de moteur de ces villes dans le développement du territoire. Élaboré en concertation avec les élus et les acteurs économiques des territoires, le plan Action cœur de ville vise à faciliter et à soutenir le travail des collectivités locales, à inciter les acteurs du logement et de l’urbanisme à réinvestir les centres-villes, à favoriser le maintien ou l’implantation d’activités en cœur de ville afin d’améliorer les conditions de vie dans les villes moyennes.;Agence nationale de la cohésion des territoires (ANCT);Base de données;Communale;https://www.data.gouv.fr/fr/datasets/programme-action-coeur-de-ville/;National;Au fil de l'eau;"insee_com; code_commune_insee; lib_com; commune; id_acv; string; lib_acv; string; date_signature; date";Open data
Tourisme durable;Biodiversité,Nature;Hub data Office français de la Biodiversité;L'Office français de la biodiversité (OFB) est un établissement public dédié à la protection et la restauration de la biodiversité en métropole et dans les Outre-mer, sous la tutelle des ministères de la Transition écologique et de l'Agriculture et de l'alimentation.;Office français de la biodiversité (OFB);API;Individuelle;https://www.data.gouv.fr/fr/datasets/donnees-des-atlas-de-la-biodiversite-communale-en-france-metropolitaine-et-outre-mer/;National;Au fil de l'eau;;Open data
Economie;Conjoncture,Entreprise;BASE SIRENE;Géré par l'Insee, Sirene enregistre toutes les entreprises et leurs établissements, quelle que soit leur forme juridique et quel que soit leur secteur d'activité, en métropole, dans les départements d'Outre-mer et à Saint-Pierre-et-Miquelon.;INSEE;Base de données;Individuelle (entreprise);https://data.gouv.fr/fr/datasets/5b7ffc618b4c4169d30727e0/;National;Au fil de l'eau;"nom de l'entreprise; SIREN; SIRET; NAF; date de création et de clôture (si applicable); siege social; forme juridique (SARL; SAS; entreprise individuelle etc.); tranche effectifs";Open data
Economie;Dépense,Consommation,International;Données Emploi, PIB et Tourisme;Etude annuelle sur l'emploi et le PIB touristique dans l'ensemble des pays du monde;World Travel & Tourism Council;Dashboard;;https://toucan-front.tourisme-datahub.fr/;National;Mensuelle;Consommation mensuelle par marchés à l'échelle nationale;Limité
Transport;Transport ferroviaire;Transports.data.gouv.fr - transport ferroviaire;17 jeux de données sur le transport ferroviaire en France;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?modes%5B%5D=rail;Communal;Au fil de l'eau;"Réseau urbain Lignes d'Azue ; Réseau européen Flixbus ; Agrégat de réseaux urbains et interurbains de Normandie ; Réseau national Lignes inercités SNCF ; Réseau national TER SNCF ; SNCF Transilien ; Réseau TGV SNCF ; Région SUD - Réseau ZOU ! ; Réseau des Chemins de fer Corse ; Réseau interurbain du Puy de Dôme ;";Open data
Economie;Conjoncture;France Tourisme Observation;Conjoncture;Atout France;Enquête;;https://www.atout-france.fr/content/notes-de-conjoncture;National;Annuelle;Compilé des principales mesures de performance du secteur touristique en France avec des comparaisons macro avec d'autres pays européens.;Limité
Economie;Fréquentation,Hébergement,International,Transport;Données Tourisme Eurostat;"Bases de données mensuelles relatives à la fréquentation des établissements touristiques en France. On y retrouve plusieurs bases de données : Total nights spent ; Nights spent by accommodation typology; Arrivals by accommodation typology; Maritime passengers; Rail passengers;";Eurostat;Base de données;;https://tourism-dashboard.ec.europa.eu/monthly-data-view?lng=en&ctx=tourmqeustat&tu=FR&tl=0&ts=TOURMQEUSTAT&pil=level-indicator&is=TOURMQEUSTAT&cl=mqeustatindicator&clc=mqeustatindicators&fvs=false;National;Mensuelle;"Total nights spent ; Nights spent by accommodation typology; Arrivals by accommodation typology; Maritime passengers; Rail passengers;";Open data
Tourisme durable;PoI,Parc Naturel Régional;Parc Naturel Régional;"La France compte 51 parcs naturels régionaux ; ceux-ci représentent environ 15% du territoire national et regroupent 4386 communes. Cette base de données recense l'ensemble de ces communes.";Magellium;Base de données;Régionale;https://www.data.gouv.fr/fr/datasets/parcs-naturels-regionaux-pnr-france-metropolitaine/;National;Au fil de l'eau;"FID;osm_id;name;ref;boundary;ref-inpn;protect_class;protection_title;short_name;alt_name;old_name;name-fr;name-it;name-de;name-en;name-eu;protection_object;protection_aim;protection_ban;protection_instruction;related_law;site_zone;valid_from;valid_until;start_date;end_date;opening_hours;operator;governance_type;site_ownership;site_status;protection_award;protected;phone;contact-phone;fax;contact-fax;email;contact-email;website;contact-website;url;url-source;wikidata;wikipedia;description;source;note;osm_version;osm_timestamp;the_geom;osm_type";Open data
Sport & JOP;PoI;[Jeux Olympiques 2024 ] Collectivités et Centres de préparation labellisés Terre de Jeux 2024;Données sur les JO 2024 en Pays de Loire;data.gouv.fr / data.paysdelaloire.fr;Base de données;Communale;https://www.data.gouv.fr/fr/datasets/jeux-olympiques-2024-collectivites-et-centres-de-preparation-labellises-terre-de-jeux-2024/;Communal;Ponctuelle;"Sports; communes; département; région; lieu";Open data
Transport;Fréquentation,Automobile;Donnée fréquentation Route;Cette base de données recense l'ensemble des informations relatives à la fréquentation des axes routiers. En particulier, pour chaque tronçons de l'axe routier, les données renseignent le trafic moyen journalier annuel (TMJA) d'une section routière, en calculant la moyenne sur une année du nombre de véhicules circulant sur cette section, tous sens confondus, au cours d'une journée.;Ministère de la Transition écologique;Base de données;;https://www.data.gouv.fr/fr/datasets/trafic-moyen-journalier-annuel-sur-le-reseau-routier-national/#/information;Communal;Mensuelle;"son nom (route); sa longueur;ses coordonnées de début (D) et de fin (F) exprimées en coordonnées (X; Y; Z) ; annee; MesureTrafic = année pendant laquelle ont été effectuées les mesures; TypeComptageTrafic = indique si le comptage des véhicules a été effectué à partir d'un système placé en permanence sur la route ou s'il s'agit d'un relevé à l'aide d'un système de comptage temporaire; TMJA = trafic moyen journalier annuel;
RatioPL = pourcentage de poids-lourds entrant dans la composition du TMJA";Open data
Tourisme durable;Mer;MITOMED+ (Models of Integrated Tourism in the Mediterranean Plus);"Accroître les connaissances et le dialogue concernant le 
développement d’un tourisme maritime et côtier durable et responsable afin 
de renforcer la durabilité et la responsabilité du tourisme.
Améliorer le processus décisionnel maritime et côtier et la planification du 
tourisme au niveau de la destination.";Autorités locales et régionales, agences de développement territoriales, centres de recherche, établissements d’enseignement supérieur, NECSTour et CRPM;Dashboard;;https://mitomedplus.andalucia.org/mitomedplus/index.html;Communal;Annuelle;"Water quality in tourist harbors/marinas (ppm)  ;
Water consumption in litres per person per day (relation between low and high season)  ;
Volume of solid urban waste recycled (relation between low and high season)  ;
Visitors satisfaction with their overall experience in the destination ;
Variation of unemployment rate between low and high season (%)  ;
Use of land: area of developed and building land in relation to land designated as not for building (1:1 ratio)  ;
Solid urban waste produced by destination in tons per person per day (relation between low and high season) ;
Relative contribution of tourism to the GDP destination (%)  ;
Proportion of tourist organisations in relation to the total number of businesses in the destination (%)  ;
Proportion of cultural sites and practices under some protection label related to the total number of cultural resources.  ;
Proportion of active population in tourist organizations in relation to the whole active population (%)  ;
Percentage of tourist organizations in the destination using a voluntary verified certification/labelling for environmental/quality/sustainability and/or CSR measures (%) ;
Percentage of tourist attractions that are accessible to people with disabilities and/or participating in recognized accessibility schemes (%) ;
Percentage of the destination area under a biodiversity protection plan (%)  ;
Percentage of the destination area that is designated for protection (%)  ;
Percentage of the area of the destination with a sustainable tourism action plan; with agreed monitoring; development control and evaluation arrangement (%)  ;
Percentage of sand nourished   ;
Percentage of electric energy consumed by renewable sources (%)  ;
Percentage of coastline Km of free access beaches relative to total lineal Km of beaches (%).  ;
Percentage of beaches accessible to all: mobility and sensorial disabilities (%)  ;
Occupancy rate in commercial accommodation (%)  ;
Number of second/rental homes per one home (1:1 ratio)  ;
Number of overnight stays  ;
Number of equivalent visitors per resident (1:1 ratio)  ;
Number of days when the NOx threshold is trespassed ;
Number of cruise passengers per day; in relation to total population (1:1 ratio)  ;
Number of colony-forming units of pollution in seawater per 100 ml (Intestinal enterococci)  ;
Number of colony-forming units of pollution in seawater per 100 ml (Escherichia coli)  ;
Number of blue flags; EMAS; ISO 14001 and other national environmental certifications; in relation to the number of beaches as that part of the coastline considered bathing area.  ;
Number of berths and moorings for recreational boating in relation to total length of coastline.  ;
Number of beds in commercial accommodation in relation to population (1:1 ratio)  ;
Energy consumption (KWh) per person per day (relation between low and high season)  ;
Direct tourism employment as percentage of total employment (%).  ;
Daily spending per tourist (€)  ;
Average wage in tourism for women compared to men’s; employment.  ;
Average length of stay of tourists (nights)  ;";Open data
Economie;Meublés de tourisme;AirDNA;AirDNA est le leader mondial de l'information sur les locations de courte durée. La plateforme est alimentée par les données de Vrbo et Airbnb provenant de plus de 10 millions de propriétés sur 120 000 marchés mondiaux.;AirDNA;Dashboard;Communale;https://www.airdna.co/vacation-rental-data;National;Au fil de l'eau;"Nombre d'annonces Airbnb par Ville; typologie des meublés offerts sur Airbnb (appartement entier/chambre seule); taux de conformité des annonces; taux d'occupation des meublés; prix; notation";Limité
Autres données;Autres données;API WIM (Word is Mine);"World is Mine, le WIM, est un index de plus de 3 000 000 de lieux et activités
référencés sur le web disponible en API et avec des modules.La solution WIM trouve, organise et qualifie toutes les pages d’informations touristiques dans toutes les langues, pour les rendre immédiatement accessibles et utiles à tous. 

Le WIM est le 1er moteur de recherche multilingue spécialement dédié au voyage qui vous livre instantanément les “must see” de toutes vos destinations, géolocalisés, classés par popularité, et permet à votre futur client de dessiner sa propre expérience grâce à de nombreux filtres thématiques ou lifestyle disponibles dans l’API.";Cirkwi;API;;https://pro.cirkwi.com/api-wim/;National;Au fil de l'eau;;Limité
Données de référence;Immobilier;Logements et logements sociaux dans les départements;"Le jeu de données mis à disposition présente, pour les départements métropolitains et les DOM, des indicateurs de contexte sur le parc de logement et des informations sur le parc de logement social.

Ces données sont issues de l'Insee, de la base Sit@del2, du répertoire du parc locatif social (RPLS) et de la CDC. Elles sont valorisées dans la publication annuelle l'Atlas du logement et des territoires (Banques des Territoires), voir référence ci-dessous.

Les données correspondent aux années N-2 par rapport à l’année de publication indiquée, excepté le taux de chômage (T4 N-1) et le taux de pauvreté (N-3).";Caisse des dépôts et de consignation;Base de données;Départementale;https://www.data.gouv.fr/fr/datasets/logements-et-logements-sociaux-dans-les-departements-1/;National;Bisannuelle;"annee_publication ;code_departement ; nom_departement ; code_region; nom_region ; nombre_d_habitants;densite_de_population_au_km2 ;	variation_de_la_population_sur_10_ans_en ;	dont_contribution_du_solde_naturel_en ; dont_contribution_du_solde_migratoire_en ;	population_de_moins_de_20_ans ; population_de_60_ans_et_plus	taux_de_chomage_au_t4_en ;	taux_de_pauvrete_en	nombre_de_logements	nombre_de_residences_principales ;  taux_de_logements_sociaux_en ;  taux_de_logements_vacants_en taux_de_logements_individuels_en	moyenne_annuelle_de_la_construction_neuve_sur_10_ans	construction	parc_social_nombre_de_logements parc_social_logements_mis_en_location	parc_social_logements_demolis ; parc_social_ventes_a_des_personnes_physiques	parc_social_taux_de_logements_vacants_en	parc_social_taux_de_logements_individuels_en	parc_social_loyer_moyen_en_eur_m2_mois	parc_social_age_moyen_du_parc_en_annees	parc_social_taux_de_logements_energivores_e_f_g_en	geom	geo_point_2d";Open data
Innovation et numérique;Start-up;Data & Insights;Données sur les startups (pas spécialement tourisme) au niveau mondial;CB Insights;Base de données;Individuelle (Startup);https://www.cbinsights.com/what-we-offer/data/;International;Au fil de l'eau;"financement; valorisation; post M&A; relations d'affaires; taille du marché; notation des équipes de direction; brevets; avis d'analystes";Limité
Tourisme durable;PoI,Randonnée;Itinéraires de randonnée dans OpenStreetMap;La base de données met à disposition des données relatives aux traçées des chemins de randonnées. Les données sont disponibles sous différents formats (xls, json, kml, shp).;Magellium;Base de données;Infra-communale;https://www.data.gouv.fr/fr/datasets/itineraires-de-randonnee-dans-openstreetmap/;National;Au fil de l'eau;"osm_id;route;type;name;short_name;osmc-symbol;symbol;ref;operator;network;url; source; the_geom";Open data
Autres données;PoI,Tourisme de proximité;Application Henoo;"Créé en juillet 2021 durant la crise du Covid 19, Henoo a été fondé par six amis originaires du Grand Est : Pierre Thenot, Quentin Guenot, Gautier Vuillaume, Cédric Schitz, Hugo Routy et Julien Henrotin. Suite à quoi, l'application Henoo est née avec l'ambition de devenir la Super App dédiée à la culture, au tourisme de proximité et au patrimoine.""Nous accompagnons les territoires dans leur valorisation, avec une solution clé en main qui améliore l’expérience de séjour des voyageurs.""";Henoo;Applicatif;;https://henoo.fr/a-propos;National;;;Limité
Economie;Fréquentation;Flux Vision: Offre Retail et cœur de ville;Ces indicateurs indiquent  la fréquentation unique par jour et par tranche de 3 minutes, les profils sociodémographiques, les zones d'activités et de nuitées.;Orange;Indicateurs;;https://www.orange-business.com/fr/solutions/data-intelligence-iot/flux-vision;Communal;Quotidienne;"fréquentation unique par jour et par tranche de 3 minutes; profils sociodémographiques; zones d'activités et de nuitées";Limité
Tourisme social;Accessibilité,Hébergement;Marque Qualité tourisme;"La Direction Générale des Entreprises, met à disposition depuis 2014 la liste des établissements labellisés Qualité Tourisme™. Cette marque d’État est attribuée aux professionnels du tourisme pour la qualité de leur accueil et de leurs prestations. De nombreux Partenaires (associations et groupements professionnels, institutionnels territoriaux) accompagnent les professionnels à mettre en œuvre les engagements le Marque Qualité Tourisme™:
Un accueil chaleureux;Un personnel attentif;La maîtrise des langues étrangères;Des prestations personnalisées; Des informations claires et précises;Une propreté et un confort assurés; La découverte d'une destination 
La marque Qualité Tourisme™ est la seule marque d’État attribuée aux professionnels du tourisme pour la qualité de leur accueil et de leurs prestations. Au 15 octobre 2021, près de 5 900 établissements sont porteurs de la marque Qualité Tourisme™ en France.";Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique (MESFIN);Base de données;Individuelle;https://www.data.gouv.fr/fr/datasets/marque-detat-qualite-tourisme-tm-1/;National;Au fil de l'eau;"NOM ETABLISSEMENT;  ADRESSE MAIL ETABLISSEMENT;SITE WEB ETABLISSEMENT;	TELEPHONE ETABLISSEMENT; COMMUNE;	CP; REGION; DEPARTEMENT; CATEGORIE / FILIERE; ACTIVITE;SIRET";Open data
Tourisme durable;Energie,GES;Base Empreinte;La Base Empreinte® est une fusion des Base Carbone® et Base IMPACTS®. Cette base unique permet de centraliser les données d'impacts environnementaux de procédés similaires, qu'ils soient employés en monocritère GES (émissions de gaz à effet de serre) ou en multi-critères (consommation d'eau, pollution de l'air, occupation des sols, utilisation de ressources, etc.). La Base Empreinte® est la base de données publique officielle de facteurs d'émission et de jeux de données d'inventaire nécessaires à la réalisation d'exercices de comptabilité carbone des organisations et d'affichage environnemental des produits et services de grande consommation. La Base Empreinte ® sert également de support au Bilan Produit ®, outil d'ACV simplifié et de sensibilisation à l'éco-conception, très utilisé dans le milieu enseignant.;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);Base de données;Individuelle (entreprise);https://base-empreinte.ademe.fr/;National;Ponctuelle;;Open data
Transport;Fréquentation;Transports.data.gouv.fr - comptage des mobilités;Les 4 jeux de données référencés dans cette catégorie contiennent des informations permettant de décrire la fréquentation des infrastructures de transport.;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=transport-traffic;Communal;Au fil de l'eau;"Sites de comptage de la Métropole de Lyon ; Channels des sites de comptage de la Métropole de Lyon ; Mesures de comptage de la Métropole de Lyon ; Comptage des mobilités - Rouen Normandie";Open data
Tourisme durable;Energie;Open data ENEDIS;8 jeux de Données en open data fournies par Enedis au sujet des infrastructures;ENEDIS;Base de données;;https://data.enedis.fr/pages/accueil/;Communal;Au fil de l'eau;"Position géographique des poteaux HTA et BT ; Postes de distribution publique (postes HTA et BT) ; Lignes souterraines Basse tension (BT) ; Lignes aériennes Basse tension (BT) ; Lignes souterraines moyenne tension (HTA) ; Lignes aériennes moyenne tension (HTA) ; Postes et sources de répartion HTA/HTA ; données relatives aux lignes et aux postes.";Open data
Innovation et numérique;Start-up,Investissements;CF News;Données sur les deals M&A et capital-développement tous secteurs confondus;CF News;Base de données;Individuelle (Startup);https://www.cfnews.net/;National;Au fil de l'eau;"deals M&A; dette; capital-développement; LBO";Limité
Economie;National,Départ en vacances;Enquête intentions de boyage (FTO);Enquête sur les clientèles domestiques, réalisée trois fois par an, auprès d'échantillons représentatifs des clientèles françaises. Le traitement est automatisé dans France Tourisme Observation, sous la forme de dashboards personnalisés pour chaque Région partenaire.;Opinion Way;Enquête;Individuelle;https://toucan-front.tourisme-datahub.fr/;National;Quadrimestrielle;"% d'intention de voyage avec ventilation par zone; mode de transport envisagé; Type d'hébergement envisagé.";Limité
Economie;Agenda local;Événements publics en Île-de-France (via Open Agenda);"Liste des événements publics publiés dans les agendas Open Agenda, et qui se déroulent dans la Région Île-de-France. 
Open agenda est une solution pour tout organisateur qui souhaite recenser et diffuser à un public ses événements (https://openagenda.com/).";Open Agenda;API;Individuelle;https://openagenda.com/fr/ile-de-France;Régional;Au fil de l'eau;;Open data
Tourisme durable;Ressources,Enérgie,Transition;Tableau de bord du tourisme durable (FTO) A VENIR;Création d'indicateurs innovants pour suivre la transition écologique de la filière, en exploitant par exemple des bases de données en open data sur la consommation énergétique de la filière. Les premières briques du baromètre seront publiées au premier semestre 2023.;Atout France;Indicateurs,Dashboard;;https://toucan-front.tourisme-datahub.fr/;National;Annuelle;"Consommation éléctricité/eau du tourisme; restauration; activités sportives; hébergement";Limité
Innovation et numérique;Start-up;Crunchbase;Données sur les start-ups tous secteurs confondus, national, international;Crunchbase;Base de données;;https://www.crunchbase.com/home;National;Au fil de l'eau;"Fonds levés; nombre d'emplois; investisseurs; C.A";Limité
Tourisme durable;Randonnée;Cartes IGN'Rando;IGNrando’ est un site internet collaboratif gratuit dédié aux activités nature partout en France. Quels que soient votre activité (randonnée pédestre, à vélo, équestre…), votre niveau de pratique et vos envies, accédez à un large choix de parcours et points d’intérêt ou créez vos propres itinéraires sur les fonds de cartes IGN.;Institut national de l'information géographique et forestière (IGN);Données géographiques;Communale;https://ignrando.fr/fr/parcours;National;Au fil de l'eau;"Nom de l'itinéraire; identifiant; Thématique; Mise à jour; durée et niveau; distance; altitude; lieu de départ;";Open data
Economie;Meublés de tourisme;Liwango/ Données meublés de tourisme;L’outil Liwango permet un suivi continu de l’offre et de l’activité des plateformes de location de courte durée. L’outil offre une prestation globale : fourniture de données, datavisualisation à toutes les échelles, prospective;Liwango;Applicatif;;https://www.liwango.com/fr;National;Au fil de l'eau;"occupation; prix; durée moyenne de séjours;origine des clientèles; comparaison; Prospective; offre & cartographie.";Limité
Transport;Transport maritime;Transports.data.gouv.fr - transport maritime et fluvial;16 jeux de données qui décrivent l'offre de transports de réseaux maritimes et fluviaux;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?modes%5B%5D=ferry;Communal;Au fil de l'eau;"Réseau urbain TAN ; Réseau urbain Mistral ; Agrégat de réseaux urbains et interurbains de la métropole Aix -Marseille ; Réseau urbain Astuce ; Agrégat de réseaux urbains et interurbains de Normandie ; Réseau urbain Yélo ; Réseau urbain R'Bus ; Réseau urbain Sitac - Calais ;Bacs de Loire en Loire-Atlantique (44) ; Réseau maritime Yeu-Continent
Réseau maritime Yeu-Continent";Open data
Données de référence;PoI,Label;Commune Loi Littoral;Cette base de données recense l'ensemble des communes classées en Loi Littoral. A ce jour, nous comptons plus de 1200 communes soumises à la Loi littorale.;data.gouv.fr;Base de données;Communale;https://www.data.gouv.fr/fr/datasets/communes-de-la-loi-montagne-au-code-officiel-geographique-cog-2020-2022/                    https://www.data.gouv.fr/en/datasets/communes-de-la-loi-littoral-au-code-officiel-geographique-cog-2020-2022/#:~:text=Les%20communes%20concern%C3%A9es%20par%20l%27application%20de%20la%20%22loi,et%20participent%20aux%20%C3%A9quilibres%20%C3%A9conomiques%20et%20%C3%A9cologiques%20littoraux.;National;Au fil de l'eau;"ANNEE_COG;INSEE_REG2016; NOM_REG2016; INSEE_DEP; NOM_DEPT; INSEE_COM; NOM_COM; OLD_INSEE; OLD_NOM;AN_FUSION; Réglementation";Open data
Tourisme durable;Energie;Open data ENEDIS;32 jeux de Données en open data fournies par Enedis au sujet de l'énergie;ENEDIS;Base de données;;https://data.enedis.fr/pages/accueil/;National;Au fil de l'eau;"Puissance électrique au pas demi-heure; Puissance électrique au pas journalier ; sobriété de la consommation énergétique ; biln électrique ; répartition des opération d'autoconsommation collective actives - maille Enedis ; répartition des opération d'autoconsommation collective actives - maille régionale ; Agrégats segmentés de consommation électrique au pas 1/2 h des poins de sous-tirage < 36 kVA - Maille régionale ; Agrégats segmentés de consommation électrique au pas 1/2 h des poins de sous-tirage > 36 kVA - Maille régionale ; Nombre de points d'injection par filière de production et puissance d'injection - Maille régionale ; Consommation annuelle entreprise par adresse ; consommation et thermosensibilité à la maille EPCI ; consommation journalière par catégorie client";Open data
Economie;International;Eurostat;Données annuelles sur les voyages des résidents de l'UE;Eurostat;Base de données;Régionale;https://ec.europa.eu/eurostat/fr/web/tourism/data/database;UE;Annuelle;"Nombre de touristes ventilé par durée des séjours; destination et caractéristiques sociodémographiques du touriste; Nombre de voyages et de nuitées ventilé par objet; durée; destination; mois de départ; mode de transport et type d'hébergement et par caractéristiques sociodémographiques du touriste.
Dépenses consacrées aux voyages ventilées par catégorie de dépenses; caractéristiques du voyage et caractéristiques sociodémographiques du touriste.";Open data
Economie;Hébergement,Conjoncture;Eurostat;Données mensuelles et annuelles concernant le marché des hébergements de courte durée proposés par l'intermédiaire des plateformes en ligne d'économie collaborative.;Eurostat;Base de données;Régionale;https://ec.europa.eu/eurostat/fr/web/tourism/data/database;UE;"Mensuelle ; Annuelle";"Hébergement de courte durée proposé par l'intermédiaire des plateformes en ligne d'économie collaborative par mois et résidence du client - statistiques expérimentales (tour_ce_omr)	 EXPÉRIMENTAL; Hébergement de courte durée proposé par l'intermédiaire des plateformes en ligne d'économie collaborative par mois; résidence du client et régions NUTS1 et NUTS2 - statistiques expérimentales (tour_ce_omn12)";Open data
Données de référence;Données de référence;Base des adresses nationales (BAN);La Base Adresse Nationale est l’une des neuf bases de données du service public des données de référence. Elle est la seule base de données d’adresses officiellement reconnue par l’administration.;data.gouv.fr;Base de données;Individuelle (adresse);https://www.data.gouv.fr/fr/datasets/base-adresse-nationale/;National;Au fil de l'eau;"nom_voie; code_postal; code_insee; nom_commune; code_insee_ancienne_commune; nom_ancienne_commune; long; lat; type_position; nom_ld; libelle_acheminement; nom_afnor; source_position; source_nom_voie";Open data
Transport;Transport aérien;Transports.data.gouv.fr - transport aérien;2 jeux de données contenant des informations permettant de décrire les horaires et plans de vols des compagnies aériennes;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=air-transport;National;Au fil de l'eau;"Programme des vols Air France KLM ; Programme des vols TUI";Open data
Tourisme social;PoI;Accès libre;"Créer la base de données la plus complète et la plus à jour concernant les informations d'accessibilité des lieux ouverts au public (restaurants, cinémas, pharmacie, administrations...)
Diffuser ces informations le plus largement possible sur internet, notamment sur les grands sites qui recensent des lieux publics : service-public.fr, allocine.fr...
A terme, notre objectif est qu'à chaque fois que des informations pratiques d'un établissement sont renseignées sur internet (adresse, horaires...), figurent également les informations d'accessibilité (plain-pieds, rampe, toilettes adaptées...)";Startup d'État/ Ministère de la transition écologique;Base de données;individuelle;https://www.data.gouv.fr/fr/datasets/statistiques-du-programme-daction-sociale-depart-18-25/;National;Au fil de l'eau;"Nom de l'établissement, adresse, code INSEE, Filtres des informations par besoin; Transport et stationnement ; Entrée";Open data
Economie;Meublés de tourisme;Etude Eurostat sur le marché des meublé;Cette publication est basée sur des données d’Eurostat, qui a conclu un accord d’échanges de données début 2020 avec quatre plateformes (Airbnb, Booking, Expedia Group et Tripadvisor). La collecte de données auprès des plateformes permet d'améliorer la qualité des statistiques européennes sur le tourisme.;Eurostat;Enquête;Communale;https://ec.europa.eu/eurostat/fr/web/tourism/data/database;National;Au fil de l'eau;"Nombre de nuitées; répartition géographique; répartition clientèle domestique/étrangère";Open data
Economie;Transport aérien;Enquête Avion-Train Route Ile de France;Elle interroge les éventuels touristes au moment où ils quittent l’Île-de-France (en salles d’embarquement par exemple dans le cas de voyageurs aériens). Cette enquête permet de recueillir à la fois des informations sur le profil des touristes, sur leurs parcours et sur leurs dépenses en général;INSEE;Enquête;Individuelle;https://www.cnis.fr/enquetes/avion-train-route-atr-frequentation-touristique-en-ile-de-france-enquete/;Régional;Annuelle;"Caractéristiques de l’individu enquêté : nationalité; pays de résidence; âge; sexe; profession ; Caractéristiques du séjour; Dépenses effectuées pour et pendant le séjour : forfait tout compris ou montant par poste : hébergement; restauration; loisirs; achats de biens durables (produits non consommés sur place); transports au sein de la région (les dépenses concernant les transports pour venir et repartir ne sont pas prises en compte); Niveau de satisfaction concernant le séjour; intention de recommander cette destination et de revenir en Île-de-France pour un nouveau séjour; Caractéristiques spécifiques du trajet pour le volet Train; Visite de lieux JOP (stades …); Participation à des événements JOP (marathon; olympiade culturelle…)";Open data
Autres données;Autres données;API Wikipedia;Accès à l'ensemble des requetes Wikipedia;Wikipedia;API;;;International;Au fil de l'eau;;Limité
Transport;Vélo,PoI;Transports.data.gouv.fr -stationnement vélo;Les 12 jeux de données de cette catégorie décrivent les équipements de stationnement cyclable en France.;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=bike-parking;National;Au fil de l'eau;"Stationnement cyclable - Ouest Cornouaille ; Base Nationale du Stationnement Cyclable - Export OpenStreetMap ;  Stationnement cyclable en gare - Région Centre Val-de-Loire ; Stationnement cyclable - Antibes ; Stationnements cyclables - Tourcoing ; Stationnements cyclables - Rouen Métropole ; Stationnements cyclables - Communauté d'agglomération de la région nazairienne et de l'estuaire ; Stationnements cyclables - Communauté Lesneven Côte des Légendes ; Stationnement cyclable - Eurométropole de Strasbourg ; Stationnement cyclable - Syndicat mixte des 4 communautés de communes";Open data
Culture;PoI,Festival;Liste des festivals en France;"Sont considérés comme festivals les événements qui répondent aux critères suivants :
- avoir eu lieu en 2019
- avoir connu au moins deux éditions en 2019
- se dérouler sur plus d’une journée
- compter au moins 5 spectacles, représentations, concerts ou projections
Le choix a été fait de retenir l’année 2019 qui devient, dans le champ culturel, l’année-repère ante pandémie.";Ministère de la Culture;Base de données;Individuelle (festival);https://www.data.gouv.fr/fr/datasets/liste-des-festivals-en-france/;National;Au fil de l'eau;"nom_du_festival; region_principale_de_deroulement;departement_principal_de_deroulement;commune_principale_de_deroulement;code_postal_de_la_commune_principale_de_deroulement;	code_insee_commune;	decennie_de_creation_du_festival;	annee_de_creation_du_festival;	discipline_dominante;	sous_categorie_spectacle_vivant;	sous_categorie_musique;	sous_categorie_musique_cnm;	sous_categorie_cinema_et_audiovisuel";Open data
Economie;Meublés de tourisme;InsideAirbnb;"La location privée de chambres et d’appartements influence substantiellement les marchés du tourisme et du logement, en particulier dans les grandes villes : des données fiables sont primordiales pour assurer le suivi et mener un débat constructif sur les mutations en cours. Inside AirBnB est un projet indépendant puisant dans les données rendues publiques par AirBnB, qui sont ensuite compilées.

Les informations recueillies peuvent être trouvées et téléchargées facilement et un grand nombre d’outils et de filtres sont offerts ; les données sont rendues accessibles sous une licence de domaine public. La plateforme présente certaines limites : les données ne sont mises à jours que plusieurs fois dans l’année et le site ne se concentre que sur certaines villes et lieux touristiques, qui sont toutefois bien représentés.";InsideAirbnb;Dashboard,Base de données;Communale;http://insideairbnb.com/explore;Communal;Au fil de l'eau;"Nombre d'annonces Airbnb par Ville; typologie des meublés offerts sur Airbnb (appartement entier/chambre seule); taux de conformité des annonces; taux d'occupation des meublés; prix; notation";Open data
